Hat Adı;İstasyon Adı;İlçe Adı;İstasyon Büyüklüğü;Yürüyen Merdiven Sayısı;Asansör Sayısı
M7;NURTEPE;KAĞITHANE;14.009;14;9
M7; ALİBEYKÖY;EYÜP;4.368;8;4
M7;ÇIRÇIR ;EYÜP;12.464;14;9
M7; VEYSEL KARANİ;EYÜP;12.624;16;11
M7;YEŞİLPINAR ;EYÜP;12.871;10;4
M7;KAZIM KARABEKİR;GAZİOSMANPAŞA;12.990;16;5
M7;YENİMAHALLE ;GAZİOSMANPAŞA;10.820;10;3
M7;KARADENİZ MAHALLESİ;ESENLER;16.254;26;14
M7;GİYİMKENT-TEKSTİLKENT;ESENLER;12.529;15;3
M7;ORUÇ REİS (YÜZYIL );BAĞCILAR;14.388;10;8
M7;GÖZTEPE;BAĞCILAR;10.636;14;4
M7;MAHMUTBEY;BAĞCILAR;13.851;19;2
